Division,Count
RURAL,982
KAMBAH,97
HUME,85
SYMONSTON,75
O'MALLEY,60
RED HILL,60
CONDER,59
CALWELL,53
CAMPBELL,51
GORDON,47
GREENWAY,45
AINSLIE,43
GUNGAHLIN,41
WANNIASSA,41
DEAKIN,40
GARRAN,40
THEODORE,37
WATSON,34
WESTON,31
CHIFLEY,30
CURTIN,30
FORDE,27
BRUCE,26
FADDEN,25
GILMORE,25
ISAACS,25
KALEEN,25
LYNEHAM,25
NICHOLLS,24
YARRALUMLA,23
PIALLIGO,22
RICHARDSON,21
FYSHWICK,20
HACKETT,20
ACTON,19
LYONS,19
ISABELLA PLAINS,18
MACARTHUR,18
TORRENS,18
HUGHES,17
BONNER,16
BONYTHON,16
COOMBS,16
DUFFY,16
FARRER,16
PEARCE,14
BELCONNEN,13
DENMAN PROSPECT,13
DICKSON,13
HALL,11
O'CONNOR,11
PARKES,11
MAWSON,10
PHILLIP,10
WRIGHT,10
BANKS,9
GRIFFITH,9
LAWSON,9
GOWRIE,8
JACKA,8
MOLONGLO,8
MONCRIEFF,8
NARRABUNDAH,8
AMAROO,7
ARANDA,7
BARTON,6
COOK,6
HOLT,6
MONASH,6
REID,6
RUSSELL,6
CASEY,5
DOWNER,5
EVATT,5
FORREST,5
FRANKLIN,5
GIRALANG,5
KINGSTON,5
MCKELLAR,5
CAPITAL HILL,4
CHAPMAN,4
CITY,4
CRACE,4
FISHER,4
FRASER,4
HOLDER,4
MACGREGOR,4
RIVETT,4
BRADDON,3
CANBERRA AIRPORT,3
CHISHOLM,3
DUNLOP,3
HARRISON,3
LATHAM,3
MITCHELL,3
TAYLOR,3
WARAMANGA,3
CHARNWOOD,2
HAWKER,2
HIGGINS,2
MACQUARIE,2
MELBA,2
PAGE,2
PALMERSTON,2
STRATHNAIRN,2
THROSBY,2
BEARD,1
NGUNNAWAL,1
OXLEY,1
SPENCE,1
STIRLING,1
THARWA,1
TURNER,1
URIARRA VILLAGE,1
