WILDLIFE_TYPE,SPECIES,ISSUE,ACTION,CREATED_DATE,DIVISION
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/12,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/17,WESTON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/12,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/15,HUGHES
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/13,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/15,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/12,BONYTHON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/15,THEODORE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/12,CONDER
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/15,GUNGAHLIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/14,HUME
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/12,FARRER
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/14,ACTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/15,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/11,AINSLIE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2017/06/15,PIALLIGO
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/12,FARRER
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/22,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/12,ISABELLA PLAINS
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/22,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/14,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2017/06/22,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/14,LAWSON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/22,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/14,TORRENS
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/20,HUGHES
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/14,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/20,HUME
MACROPOD,EASTERN GREY KANGAROO,OTHER,CAPTURED & RELEASED,2016/08/14,AINSLIE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/21,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NO ACTION REQUIRED,2016/08/14,THEODORE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/22,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/14,LYONS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/20,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/14,DEAKIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/20,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/13,CHIFLEY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/20,LAWSON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/14,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/20,YARRALUMLA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/14,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/18,YARRALUMLA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/14,HACKETT
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2017/06/19,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/13,GUNGAHLIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/19,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/13,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/19,CURTIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/13,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/09,ISAACS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/13,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/09,ISAACS
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/09,THEODORE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/09,TORRENS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/08/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/08,BELCONNEN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/09,KALEEN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/09,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/09,CANBERRA AIRPORT
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/09,FADDEN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/08/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/08,LYONS
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/09,ISABELLA PLAINS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/08,FADDEN
MACROPOD,EASTERN GREY KANGAROO,DEAD,NO ACTION REQUIRED,2016/08/09,THEODORE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/08,PIALLIGO
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/08,KALEEN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/09,ISABELLA PLAINS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/08/09,ISABELLA PLAINS
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/08,FORDE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/09,BRUCE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/08,HACKETT
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/08/09,HUME
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/08,AINSLIE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/08/09,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2017/06/13,ISAACS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/08/09,PIALLIGO
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/13,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/11,HUME
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/13,AINSLIE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/11,ISABELLA PLAINS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/13,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/08/11,HUME
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/12,HACKETT
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/11,HUME
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/13,CALWELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/11,BANKS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/13,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/11,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/13,CAMPBELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/08/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/11,ISABELLA PLAINS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/12,WRIGHT
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/08/10,HUME
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2017/06/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/10,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/12,MELBA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/11,JACKA
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/11,BONYTHON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/10,CURTIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/08/10,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2017/06/10,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/08/10,ISAACS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2017/06/11,GREENWAY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/08/10,DEAKIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/08/10,CALWELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/27,HUGHES
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/09/27,TORRENS
